Tab                              0x0009
Sup                              0x22D1
Supset                           0x22D1
Cap                              0x22D2
Cup                              0x22D3
fork                             0x22D4
pitchfork                        0x22D4
epar                             0x22D5
ltdot                            0x22D6
lessdot                          0x22D6
gtdot                            0x22D7
gtrdot                           0x22D7
Ll                               0x22D8
Gg                               0x22D9
ggg                              0x22D9
leg                              0x22DA
LessEqualGreater                 0x22DA
lesseqgtr                        0x22DA
gel                              0x22DB
gtreqless                        0x22DB
GreaterEqualLess                 0x22DB
cuepr                            0x22DE
curlyeqprec                      0x22DE
cuesc                            0x22DF
curlyeqsucc                      0x22DF
nprcue                           0x22E0
NotPrecedesSlantEqual            0x22E0
nsccue                           0x22E1
NotSucceedsSlantEqual            0x22E1
nsqsube                          0x22E2
NotSquareSubsetEqual             0x22E2
nsqsupe                          0x22E3
NotSquareSupersetEqual           0x22E3
lnsim                            0x22E6
gnsim                            0x22E7
prnsim                           0x22E8
precnsim                         0x22E8
scnsim                           0x22E9
succnsim                         0x22E9
nltri                            0x22EA
ntriangleleft                    0x22EA
NotLeftTriangle                  0x22EA
nrtri                            0x22EB
ntriangleright                   0x22EB
NotRightTriangle                 0x22EB
nltrie                           0x22EC
ntrianglelefteq                  0x22EC
NotLeftTriangleEqual             0x22EC
nrtrie                           0x22ED
ntrianglerighteq                 0x22ED
NotRightTriangleEqual            0x22ED
vellip                           0x22EE
ctdot                            0x22EF
utdot                            0x22F0
dtdot                            0x22F1
disin                            0x22F2
isinsv                           0x22F3
isins                            0x22F4
isindot                          0x22F5
notinvc                          0x22F6
notinvb                          0x22F7
isinE                            0x22F9
nisd                             0x22FA
xnis                             0x22FB
nis                              0x22FC
notnivc                          0x22FD
notnivb                          0x22FE
barwed                           0x2305
barwedge                         0x2305
Barwed                           0x2306
doublebarwedge                   0x2306
lceil                            0x2308
LeftCeiling                      0x2308
rceil                            0x2309
RightCeiling                     0x2309
lfloor                           0x230A
LeftFloor                        0x230A
rfloor                           0x230B
RightFloor                       0x230B
drcrop                           0x230C
dlcrop                           0x230D
urcrop                           0x230E
ulcrop                           0x230F
bnot                             0x2310
profline                         0x2312
profsurf                         0x2313
telrec                           0x2315
target                           0x2316
ulcorn                           0x231C
ulcorner                         0x231C
urcorn                           0x231D
urcorner                         0x231D
dlcorn                           0x231E
llcorner                         0x231E
drcorn                           0x231F
lrcorner                         0x231F
frown                            0x2322
sfrown                           0x2322
smile                            0x2323
ssmile                           0x2323
cylcty                           0x232D
profalar                         0x232E
topbot                           0x2336
ovbar                            0x233D
solbar                           0x233F
angzarr                          0x237C
lmoust                           0x23B0
lmoustache                       0x23B0
rmoust                           0x23B1
rmoustache                       0x23B1
tbrk                             0x23B4
OverBracket                      0x23B4
bbrk                             0x23B5
UnderBracket                     0x23B5
bbrktbrk                         0x23B6
OverParenthesis                  0x23DC
UnderParenthesis                 0x23DD
OverBrace                        0x23DE
UnderBrace                       0x23DF
trpezium                         0x23E2
elinters                         0x23E7
blank                            0x2423
oS                               0x24C8
circledS                         0x24C8
boxh                             0x2500
HorizontalLine                   0x2500
boxv                             0x2502
boxdr                            0x250C
boxdl                            0x2510
boxur                            0x2514
boxul                            0x2518
boxvr                            0x251C
boxvl                            0x2524
boxhd                            0x252C
boxhu                            0x2534
boxvh                            0x253C
boxH                             0x2550
boxV                             0x2551
boxdR                            0x2552
boxDr                            0x2553
boxDR                            0x2554
boxdL                            0x2555
boxDl                            0x2556
boxDL                            0x2557
boxuR                            0x2558
boxUr                            0x2559
boxUR                            0x255A
boxuL                            0x255B
boxUl                            0x255C
boxUL                            0x255D
boxvR                            0x255E
boxVr                            0x255F
boxVR                            0x2560
boxvL                            0x2561
boxVl                            0x2562
boxVL                            0x2563
boxHd                            0x2564
boxhD                            0x2565
boxHD                            0x2566
boxHu                            0x2567
boxhU                            0x2568
boxHU                            0x2569
boxvH                            0x256A
boxVh                            0x256B
boxVH                            0x256C
uhblk                            0x2580
lhblk                            0x2584
block                            0x2588
blk14                            0x2591
blk12                            0x2592
blk34                            0x2593
squ                              0x25A1
square                           0x25A1
Square                           0x25A1
squf                             0x25AA
squarf                           0x25AA
blacksquare                      0x25AA
FilledVerySmallSquare            0x25AA
EmptyVerySmallSquare             0x25AB
rect                             0x25AD
marker                           0x25AE
fltns                            0x25B1
xutri                            0x25B3
bigtriangleup                    0x25B3
utrif                            0x25B4
blacktriangle                    0x25B4
utri                             0x25B5
triangle                         0x25B5
rtrif                            0x25B8
blacktriangleright               0x25B8
rtri                             0x25B9
triangleright                    0x25B9
xdtri                            0x25BD
bigtriangledown                  0x25BD
dtrif                            0x25BE
blacktriangledown                0x25BE
dtri                             0x25BF
triangledown                     0x25BF
ltrif                            0x25C2
blacktriangleleft                0x25C2
ltri                             0x25C3
triangleleft                     0x25C3
loz                              0x25CA
lozenge                          0x25CA
cir                              0x25CB
tridot                           0x25EC
xcirc                            0x25EF
bigcirc                          0x25EF
ultri                            0x25F8
urtri                            0x25F9
lltri                            0x25FA
EmptySmallSquare                 0x25FB
FilledSmallSquare                0x25FC
starf                            0x2605
bigstar                          0x2605
star                             0x2606
phone                            0x260E
female                           0x2640
male                             0x2642
spades                           0x2660
spadesuit                        0x2660
clubs                            0x2663
clubsuit                         0x2663
hearts                           0x2665
heartsuit                        0x2665
diams                            0x2666
diamondsuit                      0x2666
sung                             0x266A
flat                             0x266D
natur                            0x266E
natural                          0x266E
sharp                            0x266F
check                            0x2713
checkmark                        0x2713
cross                            0x2717
malt                             0x2720
maltese                          0x2720
sext                             0x2736
VerticalSeparator                0x2758
lbbrk                            0x2772
rbbrk                            0x2773
bsolhsub                         0x27C8
suphsol                          0x27C9
lobrk                            0x27E6
LeftDoubleBracket                0x27E6
robrk                            0x27E7
RightDoubleBracket               0x27E7
lang                             0x27E8
LeftAngleBracket                 0x27E8
langle                           0x27E8
rang                             0x27E9
RightAngleBracket                0x27E9
rangle                           0x27E9
Lang                             0x27EA
Rang                             0x27EB
loang                            0x27EC
roang                            0x27ED
xlarr                            0x27F5
longleftarrow                    0x27F5
LongLeftArrow                    0x27F5
xrarr                            0x27F6
longrightarrow                   0x27F6
LongRightArrow                   0x27F6
xharr                            0x27F7
longleftrightarrow               0x27F7
LongLeftRightArrow               0x27F7
xlArr                            0x27F8
Longleftarrow                    0x27F8
DoubleLongLeftArrow              0x27F8
xrArr                            0x27F9
Longrightarrow                   0x27F9
DoubleLongRightArrow             0x27F9
xhArr                            0x27FA
Longleftrightarrow               0x27FA
DoubleLongLeftRightArrow         0x27FA
xmap                             0x27FC
longmapsto                       0x27FC
dzigrarr                         0x27FF
nvlArr                           0x2902
nvrArr                           0x2903
nvHarr                           0x2904
Map                              0x2905
lbarr                            0x290C
rbarr                            0x290D
bkarow                           0x290D
lBarr                            0x290E
rBarr                            0x290F
dbkarow                          0x290F
RBarr                            0x2910
drbkarow                         0x2910
DDotrahd                         0x2911
UpArrowBar                       0x2912
DownArrowBar                     0x2913
Rarrtl                           0x2916
latail                           0x2919
ratail                           0x291A
lAtail                           0x291B
rAtail                           0x291C
larrfs                           0x291D
rarrfs                           0x291E
larrbfs                          0x291F
rarrbfs                          0x2920
nwarhk                           0x2923
nearhk                           0x2924
searhk                           0x2925
hksearow                         0x2925
swarhk                           0x2926
hkswarow                         0x2926
nwnear                           0x2927
nesear                           0x2928
toea                             0x2928
seswar                           0x2929
tosa                             0x2929
swnwar                           0x292A
rarrc                            0x2933
cudarrr                          0x2935
ldca                             0x2936
rdca                             0x2937
cudarrl                          0x2938
larrpl                           0x2939
curarrm                          0x293C
cularrp                          0x293D
rarrpl                           0x2945
harrcir                          0x2948
Uarrocir                         0x2949
lurdshar                         0x294A
ldrushar                         0x294B
LeftRightVector                  0x294E
RightUpDownVector                0x294F
DownLeftRightVector              0x2950
LeftUpDownVector                 0x2951
LeftVectorBar                    0x2952
RightVectorBar                   0x2953
RightUpVectorBar                 0x2954
RightDownVectorBar               0x2955
DownLeftVectorBar                0x2956
DownRightVectorBar               0x2957
LeftUpVectorBar                  0x2958
LeftDownVectorBar                0x2959
LeftTeeVector                    0x295A
RightTeeVector                   0x295B
RightUpTeeVector                 0x295C
RightDownTeeVector               0x295D
DownLeftTeeVector                0x295E
DownRightTeeVector               0x295F
LeftUpTeeVector                  0x2960
LeftDownTeeVector                0x2961
lHar                             0x2962
uHar                             0x2963
rHar                             0x2964
dHar                             0x2965
luruhar                          0x2966
ldrdhar                          0x2967
ruluhar                          0x2968
rdldhar                          0x2969
lharul                           0x296A
llhard                           0x296B
rharul                           0x296C
lrhard                           0x296D
udhar                            0x296E
UpEquilibrium                    0x296E
duhar                            0x296F
ReverseUpEquilibrium             0x296F
RoundImplies                     0x2970
erarr                            0x2971
simrarr                          0x2972
larrsim                          0x2973
rarrsim                          0x2974
rarrap                           0x2975
ltlarr                           0x2976
gtrarr                           0x2978
subrarr                          0x2979
suplarr                          0x297B
lfisht                           0x297C
rfisht                           0x297D
ufisht                           0x297E
dfisht                           0x297F
lopar                            0x2985
ropar                            0x2986
lbrke                            0x298B
rbrke                            0x298C
lbrkslu                          0x298D
rbrksld                          0x298E
lbrksld                          0x298F
rbrkslu                          0x2990
langd                            0x2991
rangd                            0x2992
lparlt                           0x2993
rpargt                           0x2994
gtlPar                           0x2995
ltrPar                           0x2996
vzigzag                          0x299A
vangrt                           0x299C
angrtvbd                         0x299D
ange                             0x29A4
range                            0x29A5
dwangle                          0x29A6
uwangle                          0x29A7
angmsdaa                         0x29A8
angmsdab                         0x29A9
angmsdac                         0x29AA
angmsdad                         0x29AB
angmsdae                         0x29AC
angmsdaf                         0x29AD
angmsdag                         0x29AE
angmsdah                         0x29AF
bemptyv                          0x29B0
demptyv                          0x29B1
cemptyv                          0x29B2
raemptyv                         0x29B3
laemptyv                         0x29B4
ohbar                            0x29B5
omid                             0x29B6
opar                             0x29B7
operp                            0x29B9
olcross                          0x29BB
odsold                           0x29BC
olcir                            0x29BE
ofcir                            0x29BF
olt                              0x29C0
ogt                              0x29C1
cirscir                          0x29C2
cirE                             0x29C3
solb                             0x29C4
bsolb                            0x29C5
boxbox                           0x29C9
trisb                            0x29CD
rtriltri                         0x29CE
LeftTriangleBar                  0x29CF
RightTriangleBar                 0x29D0
iinfin                           0x29DC
infintie                         0x29DD
nvinfin                          0x29DE
eparsl                           0x29E3
smeparsl                         0x29E4
eqvparsl                         0x29E5
lozf                             0x29EB
blacklozenge                     0x29EB
RuleDelayed                      0x29F4
dsol                             0x29F6
xodot                            0x2A00
bigodot                          0x2A00
xoplus                           0x2A01
bigoplus                         0x2A01
xotime                           0x2A02
bigotimes                        0x2A02
xuplus                           0x2A04
biguplus                         0x2A04
xsqcup                           0x2A06
bigsqcup                         0x2A06
qint                             0x2A0C
iiiint                           0x2A0C
fpartint                         0x2A0D
cirfnint                         0x2A10
awint                            0x2A11
rppolint                         0x2A12
scpolint                         0x2A13
npolint                          0x2A14
pointint                         0x2A15
quatint                          0x2A16
intlarhk                         0x2A17
pluscir                          0x2A22
plusacir                         0x2A23
simplus                          0x2A24
plusdu                           0x2A25
plussim                          0x2A26
plustwo                          0x2A27
mcomma                           0x2A29
minusdu                          0x2A2A
loplus                           0x2A2D
roplus                           0x2A2E
Cross                            0x2A2F
timesd                           0x2A30
timesbar                         0x2A31
smashp                           0x2A33
lotimes                          0x2A34
rotimes                          0x2A35
otimesas                         0x2A36
Otimes                           0x2A37
odiv                             0x2A38
triplus                          0x2A39
triminus                         0x2A3A
tritime                          0x2A3B
iprod                            0x2A3C
intprod                          0x2A3C
amalg                            0x2A3F
capdot                           0x2A40
ncup                             0x2A42
ncap                             0x2A43
capand                           0x2A44
cupor                            0x2A45
cupcap                           0x2A46
capcup                           0x2A47
cupbrcap                         0x2A48
capbrcup                         0x2A49
cupcup                           0x2A4A
capcap                           0x2A4B
ccups                            0x2A4C
ccaps                            0x2A4D
ccupssm                          0x2A50
And                              0x2A53
Or                               0x2A54
andand                           0x2A55
oror                             0x2A56
orslope                          0x2A57
andslope                         0x2A58
andv                             0x2A5A
orv                              0x2A5B
andd                             0x2A5C
ord                              0x2A5D
wedbar                           0x2A5F
sdote                            0x2A66
simdot                           0x2A6A
congdot                          0x2A6D
easter                           0x2A6E
apacir                           0x2A6F
apE                              0x2A70
eplus                            0x2A71
pluse                            0x2A72
Esim                             0x2A73
Colone                           0x2A74
Equal                            0x2A75
eDDot                            0x2A77
ddotseq                          0x2A77
equivDD                          0x2A78
ltcir                            0x2A79
gtcir                            0x2A7A
ltquest                          0x2A7B
gtquest                          0x2A7C
les                              0x2A7D
LessSlantEqual                   0x2A7D
leqslant                         0x2A7D
ges                              0x2A7E
GreaterSlantEqual                0x2A7E
geqslant                         0x2A7E
lesdot                           0x2A7F
gesdot                           0x2A80
lesdoto                          0x2A81
gesdoto                          0x2A82
lesdotor                         0x2A83
gesdotol                         0x2A84
lap                              0x2A85
lessapprox                       0x2A85
gap                              0x2A86
gtrapprox                        0x2A86
lne                              0x2A87
lneq                             0x2A87
gne                              0x2A88
gneq                             0x2A88
lnap                             0x2A89
lnapprox                         0x2A89
gnap                             0x2A8A
gnapprox                         0x2A8A
lEg                              0x2A8B
lesseqqgtr                       0x2A8B
gEl                              0x2A8C
gtreqqless                       0x2A8C
lsime                            0x2A8D
gsime                            0x2A8E
lsimg                            0x2A8F
gsiml                            0x2A90
lgE                              0x2A91
glE                              0x2A92
lesges                           0x2A93
gesles                           0x2A94
els                              0x2A95
eqslantless                      0x2A95
egs                              0x2A96
eqslantgtr                       0x2A96
elsdot                           0x2A97
egsdot                           0x2A98
el                               0x2A99
eg                               0x2A9A
siml                             0x2A9D
simg                             0x2A9E
simlE                            0x2A9F
simgE                            0x2AA0
LessLess                         0x2AA1
GreaterGreater                   0x2AA2
glj                              0x2AA4
gla                              0x2AA5
ltcc                             0x2AA6
gtcc                             0x2AA7
lescc                            0x2AA8
gescc                            0x2AA9
smt                              0x2AAA
lat                              0x2AAB
smte                             0x2AAC
late                             0x2AAD
bumpE                            0x2AAE
pre                              0x2AAF
preceq                           0x2AAF
PrecedesEqual                    0x2AAF
sce                              0x2AB0
succeq                           0x2AB0
SucceedsEqual                    0x2AB0
prE                              0x2AB3
scE                              0x2AB4
prnE                             0x2AB5
precneqq                         0x2AB5
scnE                             0x2AB6
succneqq                         0x2AB6
prap                             0x2AB7
precapprox                       0x2AB7
scap                             0x2AB8
succapprox                       0x2AB8
prnap                            0x2AB9
precnapprox                      0x2AB9
scnap                            0x2ABA
succnapprox                      0x2ABA
Pr                               0x2ABB
Sc                               0x2ABC
subdot                           0x2ABD
supdot                           0x2ABE
subplus                          0x2ABF
supplus                          0x2AC0
submult                          0x2AC1
supmult                          0x2AC2
subedot                          0x2AC3
supedot                          0x2AC4
subE                             0x2AC5
subseteqq                        0x2AC5
supE                             0x2AC6
supseteqq                        0x2AC6
subsim                           0x2AC7
supsim                           0x2AC8
subnE                            0x2ACB
subsetneqq                       0x2ACB
supnE                            0x2ACC
supsetneqq                       0x2ACC
csub                             0x2ACF
csup                             0x2AD0
csube                            0x2AD1
csupe                            0x2AD2
subsup                           0x2AD3
supsub                           0x2AD4
subsub                           0x2AD5
supsup                           0x2AD6
suphsub                          0x2AD7
supdsub                          0x2AD8
forkv                            0x2AD9
topfork                          0x2ADA
mlcp                             0x2ADB
Dashv                            0x2AE4
DoubleLeftTee                    0x2AE4
Vdashl                           0x2AE6
Barv                             0x2AE7
vBar                             0x2AE8
vBarv                            0x2AE9
Vbar                             0x2AEB
Not                              0x2AEC
bNot                             0x2AED
rnmid                            0x2AEE
cirmid                           0x2AEF
midcir                           0x2AF0
topcir                           0x2AF1
nhpar                            0x2AF2
parsim                           0x2AF3
parsl                            0x2AFD
fflig                            0xFB00
filig                            0xFB01
fllig                            0xFB02
ffilig                           0xFB03
ffllig                           0xFB04
Ascr                             0x1D49C
Cscr                             0x1D49E
Dscr                             0x1D49F
Gscr                             0x1D4A2
Jscr                             0x1D4A5
Kscr                             0x1D4A6
Nscr                             0x1D4A9
Oscr                             0x1D4AA
Pscr                             0x1D4AB
Qscr                             0x1D4AC
Sscr                             0x1D4AE
Tscr                             0x1D4AF
Uscr                             0x1D4B0
Vscr                             0x1D4B1
Wscr                             0x1D4B2
Xscr                             0x1D4B3
Yscr                             0x1D4B4
Zscr                             0x1D4B5
ascr                             0x1D4B6
bscr                             0x1D4B7
cscr                             0x1D4B8
dscr                             0x1D4B9
fscr                             0x1D4BB
hscr                             0x1D4BD
iscr                             0x1D4BE
jscr                             0x1D4BF
kscr                             0x1D4C0
lscr                             0x1D4C1
mscr                             0x1D4C2
nscr                             0x1D4C3
pscr                             0x1D4C5
qscr                             0x1D4C6
rscr                             0x1D4C7
sscr                             0x1D4C8
tscr                             0x1D4C9
uscr                             0x1D4CA
vscr                             0x1D4CB
wscr                             0x1D4CC
xscr                             0x1D4CD
yscr                             0x1D4CE
zscr                             0x1D4CF
Afr                              0x1D504
Bfr                              0x1D505
Dfr                              0x1D507
Efr                              0x1D508
Ffr                              0x1D509
Gfr                              0x1D50A
Jfr                              0x1D50D
Kfr                              0x1D50E
Lfr                              0x1D50F
Mfr                              0x1D510
Nfr                              0x1D511
Ofr                              0x1D512
Pfr                              0x1D513
Qfr                              0x1D514
Sfr                              0x1D516
Tfr                              0x1D517
Ufr                              0x1D518
Vfr                              0x1D519
Wfr                              0x1D51A
Xfr                              0x1D51B
Yfr                              0x1D51C
afr                              0x1D51E
bfr                              0x1D51F
cfr                              0x1D520
dfr                              0x1D521
efr                              0x1D522
ffr                              0x1D523
gfr                              0x1D524
hfr                              0x1D525
ifr                              0x1D526
jfr                              0x1D527
kfr                              0x1D528
lfr                              0x1D529
mfr                              0x1D52A
nfr                              0x1D52B
ofr                              0x1D52C
pfr                              0x1D52D
qfr                              0x1D52E
rfr                              0x1D52F
sfr                              0x1D530
tfr                              0x1D531
ufr                              0x1D532
vfr                              0x1D533
wfr                              0x1D534
xfr                              0x1D535
yfr                              0x1D536
zfr                              0x1D537
Aopf                             0x1D538
Bopf                             0x1D539
Dopf                             0x1D53B
Eopf                             0x1D53C
Fopf                             0x1D53D
Gopf                             0x1D53E
Iopf                             0x1D540
Jopf                             0x1D541
Kopf                             0x1D542
Lopf                             0x1D543
Mopf                             0x1D544
Oopf                             0x1D546
Sopf                             0x1D54A
Topf                             0x1D54B
Uopf                             0x1D54C
Vopf                             0x1D54D
Wopf                             0x1D54E
Xopf                             0x1D54F
Yopf                             0x1D550
aopf                             0x1D552
bopf                             0x1D553
copf                             0x1D554
dopf                             0x1D555
eopf                             0x1D556
fopf                             0x1D557
gopf                             0x1D558
hopf                             0x1D559
iopf                             0x1D55A
jopf                             0x1D55B
kopf                             0x1D55C
lopf                             0x1D55D
mopf                             0x1D55E
nopf                             0x1D55F
oopf                             0x1D560
popf                             0x1D561
qopf                             0x1D562
ropf                             0x1D563
sopf                             0x1D564
topf                             0x1D565
uopf                             0x1D566
vopf                             0x1D567
wopf                             0x1D568
xopf                             0x1D569
yopf                             0x1D56A
zopf                             0x1D56B
nvlt                             0x003C 0x20D2
bne                              0x003D 0x20E5
nvgt                             0x003E 0x20D2
fjlig                            0x0066 0x006A
ThickSpace                       0x205F 0x200A
nrarrw                           0x219D 0x0338
npart                            0x2202 0x0338
nang                             0x2220 0x20D2
caps                             0x2229 0xFE00
cups                             0x222A 0xFE00
nvsim                            0x223C 0x20D2
race                             0x223D 0x0331
acE                              0x223E 0x0333
nesim                            0x2242 0x0338
NotEqualTilde                    0x2242 0x0338
napid                            0x224B 0x0338
nvap                             0x224D 0x20D2
nbump                            0x224E 0x0338
NotHumpDownHump                  0x224E 0x0338
nbumpe                           0x224F 0x0338
NotHumpEqual                     0x224F 0x0338
nedot                            0x2250 0x0338
bnequiv                          0x2261 0x20E5
nvle                             0x2264 0x20D2
nvge                             0x2265 0x20D2
nlE                              0x2266 0x0338
nleqq                            0x2266 0x0338
ngE                              0x2267 0x0338
ngeqq                            0x2267 0x0338
NotGreaterFullEqual              0x2267 0x0338
lvertneqq                        0x2268 0xFE00
lvnE                             0x2268 0xFE00
gvertneqq                        0x2269 0xFE00
gvnE                             0x2269 0xFE00
nLtv                             0x226A 0x0338
NotLessLess                      0x226A 0x0338
nLt                              0x226A 0x20D2
nGtv                             0x226B 0x0338
NotGreaterGreater                0x226B 0x0338
nGt                              0x226B 0x20D2
NotSucceedsTilde                 0x227F 0x0338
NotSubset                        0x2282 0x20D2
nsubset                          0x2282 0x20D2
vnsub                            0x2282 0x20D2
NotSuperset                      0x2283 0x20D2
nsupset                          0x2283 0x20D2
vnsup                            0x2283 0x20D2
varsubsetneq                     0x228A 0xFE00
vsubne                           0x228A 0xFE00
varsupsetneq                     0x228B 0xFE00
vsupne                           0x228B 0xFE00
NotSquareSubset                  0x228F 0x0338
NotSquareSuperset                0x2290 0x0338
sqcaps                           0x2293 0xFE00
sqcups                           0x2294 0xFE00
nvltrie                          0x22B4 0x20D2
nvrtrie                          0x22B5 0x20D2
nLl                              0x22D8 0x0338
nGg                              0x22D9 0x0338
lesg                             0x22DA 0xFE00
gesl                             0x22DB 0xFE00
notindot                         0x22F5 0x0338
notinE                           0x22F9 0x0338
nrarrc                           0x2933 0x0338
NotLeftTriangleBar               0x29CF 0x0338
NotRightTriangleBar              0x29D0 0x0338
ncongdot                         0x2A6D 0x0338
napE                             0x2A70 0x0338
nleqslant                        0x2A7D 0x0338
nles                             0x2A7D 0x0338
NotLessSlantEqual                0x2A7D 0x0338
ngeqslant                        0x2A7E 0x0338
nges                             0x2A7E 0x0338
NotGreaterSlantEqual             0x2A7E 0x0338
NotNestedLessLess                0x2AA1 0x0338
NotNestedGreaterGreater          0x2AA2 0x0338
smtes                            0x2AAC 0xFE00
lates                            0x2AAD 0xFE00
NotPrecedesEqual                 0x2AAF 0x0338
npre                             0x2AAF 0x0338
npreceq                          0x2AAF 0x0338
NotSucceedsEqual                 0x2AB0 0x0338
nsce                             0x2AB0 0x0338
nsucceq                          0x2AB0 0x0338
nsubE                            0x2AC5 0x0338
nsubseteqq                       0x2AC5 0x0338
nsupE                            0x2AC6 0x0338
nsupseteqq                       0x2AC6 0x0338
varsubsetneqq                    0x2ACB 0xFE00
vsubnE                           0x2ACB 0xFE00
varsupsetneqq                    0x2ACC 0xFE00
vsupnE                           0x2ACC 0xFE00
nparsl                           0x2AFD 0x20E5
